review_text,sentiment
"Mampir kesini terkait pengiriman barang keluar negeri, karena ini pertama kali jadi keliling survey dulu ke berbagai ekspedisi (JNE, J&T, Sicepat, Ninja, Wahana, Lion Parcel) ternyata yang paling cucok pake : Pos Indonesia 👍

Pelayanannya ramah, dibantu oleh Mbak Rini, sangat informatif, terima kasih 🙏

Dari segi biaya, setelah banding dengan eskpedisi lain pun pake Pos Indonesia yang paling worth it. Gambarannya seperti ini :

Kirim dari  Solo ke New York :
Layanan JNE : estimasi waktu kirim 7 - 14 hari, dikenakan biaya 700.000-800.000 per 0.5kg, kalo mau yg lebih cepat harga yang dikenakan kisaran 1.000.000 lebih.
*dalam kasus tertentu dikenakan biaya tambahan ke penerima

Ekspedisi lain kurleb sama kisaran harganya dengan JNE.

Pos Indonesia : estimasi waktu kirim 7 hari dikenakan biaya 500.000-600.000 per 0.5kg

Dan hasilnya, benaran barang kiriman kita sampai dalam waktu 7 hari di New York tanpa biaya tambahan.",positive
Pelayanan cepet. Tempatnya luas nyaman dan bersih. Biasanya nuansa ruang di kantor pos berwarna oren. Ini elegan banget tembok cat putih lalu ketika masuk disambut hiasan dan aksen warna oren yg simple.,positive
"Tadi siang muter-muter ke kantor pos solo baru, ternyata udah tutup, lalu ke gading ternyata gak bisa proses paket untuk ke luar negeri, akhirnya disaranin ke Kantor Pos sini. Pengalaman pertama kirim paket ke luar negeri masih gak paham, ternyata disuruh buat invoice dan lain-lain yang mana aku sama sekali gak paham 🥲. Akhirnya ada staff baik yang mau bantuin proses paketnya dan bikin invoice dan syarat lainnya. Alhamdulillah langsung selesei dan tinggal bayar. Semoga paketnya sampai ke tujuan, sampai ke Jepang. Amin.",positive
Sangat membantu,positive
"Bingkisan yang tidak seberapa..
Semoga bisa sampai dalam keadaan baik .. ke rumah mbaknya.. di kota bahari... 🌸🍃

Sembuhkan apa yang sudah kamu sakiti.. perbaiki apa yang telah kamu rusak dan kamu hancurkan...
Agar ia tidak menghancurkan orang-orang yang lainnya.
Alangkah sempurnanya.. jika cinta adalah yang mampu memperbaiki.. menerangi.. menghidupkan..
..
Jangan biarkan oranglain mengemis kepadamu jika memang kamu tidak menginginkannya.. setidaknya biarkan orang yang kelak menemukannya tidak apes. Karena sudah dalam keadaan rusak..hanya karena kamu..

Untuk seseorang yan dipuja. semoga kenang kenangan yang saya berikan.. bisa menjadikan kamu lebih baik dan membuatmu berubah pikiran.. untuk mengobatinya. Agar tidak menghancurkan orang lain dengan dramanya...

Kantor pos solo.. begitu luas dan bersih... Tidak terlalu banyak antrian..

Surakarta.. 17 Mei 2023
15: 30 WIB...
Hidup itu menerangi 🤗",positive
"Salah satu bangunan ikonik di Surabaya, peninggalan Belanda sejak tahun 1880. Tempatnya sangat luas dan masih terawat. Terdapat beberapa ornamen dan fitur yang artistik seperti peninggalan Belanda zaman dahulu. Identik dengan bangunan yang tinggi dan berbahan kokoh. Semoga ke depannya semakin berkembang. Mantap 👍🏻 …",positive
bangunan masih asli dan terawat,positive
Pelayanan baik,positive
Tempatnya klasik seperti di jaman sebelum kemerdekaan,positive
"Satpam ramah, pelayan ramah
Sayang tidak ada fotokopian disini, jadi jauh kalo mau fotokopi",positive
maret 2023 kondisi kantor pos masih dalam tahap renovasi,positive
Bangunan megah,positive
"Kantor Pos Besar Jl. Kebonrojo, lokasi mudah ditemukan, hanya untuk akses dari arah selatan harus memutar lewat Jembatan Merah karena regulasi jalur searah di depan kantor pos. Parkir sepeda motor per November 2022 Rp3.000,00. Area kantor tertata rapi & bersih.",positive
"Kesini utk ambil STR . Menemui petugas keamanan, sy lgsg diberi arahan menuju tempat yg menyimpan STR saya .terima kasih banyak",positive
Masuk kantor pos surabaya akan teringat masa lampau khususnya perjuangan arek surabaya,positive
Tempatnya luas,positive
Cukup cepat layanannya,positive
Servis memuaskan petugas ramah dan sangat membantu,positive
Selayaknya kantor pos. Tapi sudah renovasi jadi bagus sekarang. Lumayan rame depannya karna orang jualan.,positive
"Pelayanannya cukup memeuaskan, ,dan sangat membantu",positive
Kantor pos dengan arsitektur bersejarah di surabaya,positive
"Tempat yg luas, serta parkir yg memadai, pelayanan jg terbilang cepat, tp sayang klau pas waktu gajian pensiunan, desak2an, yg mana pada saat pandemi begini sangat tdk disarankan, kurangnya jaga jarak membuat rasa khawatir juga, karena rata2 yg ambil gaji pensiunan, para lansia,,dimana resiko kesehatan sangat rawan di saat pandemi sprt skrg ini",positive
Kntr pos pusat dan terbesar di surabaya,positive
Selalu jafi pilihan terbaik,positive
"Pertama kali menginjakkan kaki ke bangunan bersejarah ini, karena butuh bea materai untuk keperluan dokumen. Dulunya rumah dan kantor kabupaten Surabaya, berubah jadi HBS (tempat sekolah Bung Karno), dan akhirnya diubah jadi kantor pos besar Surabaya.

Bangunannya masih khas kolonial Belanda yang kokoh dan beratap tinggi, jadi ruangannya terasa dingin walaupun hawa di luar sedang panas. Ada beberapa foto-foto dan secuil penjelasan bangunan kuno yang ada di sekitar kantor pos. Parkiran luas, pegawai ramah, dan ada sudut penjualan perangko bagi pencinta filateli.

Tempat ini cukup ramah disabilitas, karena amat sangat minim anak tangga. Untuk bentuk pembayaran pembelian kebutuhan perangko, pengiriman surat, dan materai, tidak terlalu memperhatikan karena sedang tidak ada keperluan untuk hal itu, tapi sepertinya hanya menerima tunai.",positive
Di kantor pos ini mau bayar apa saja bisa. Listrik. PDAM. Angsuran Mobil Acc. Angsuran Motor dll.,positive
Bagus clasic,positive
Termasuk kantor pos mewah,positive
"Terima kasih kantor pos ,,, setiap pengiriman tidak ada kendala dari dulu,,,, cepat dan murah 🙏🙏🙏🙏 …",positive
Pelayanan cepat dan ada  parkirnya bayar,positive
Berita baik,positive
"Pelayanan sangat baik dan memuaskan, jual materai juga, bisa kirim barang paket, lokasi mudah di jangkau dgn transportasi umun",positive
"Oke, teguk",positive
Ok. Bisa ambil WU disini.,positive
"Mengambil bantuan dari pemeeintah, dan saat kesana tidak pakai antri antri.. pelayanan ramah sekali",positive
Tempatnya bagus,positive
"walaupun bangunan tua tapi tetap terawat, dan sangat bersejarah.",positive
"Overall semua baik hanya saja untuk jam dinding yg ada di luar mohon juga di rawat karena selain buat ciri khas,jam itu jg sbg penunjuk waktu bagi para wisatawan...",positive
Kantor pos terbesar dan bersejarah di Jogja. Bangunannya yang indah cocok banegt buat foto-foto.,positive
Pelayanan bagus,positive
"Pemburu prangko bekas! Datanglah kemari. Banyak dijual di sekitar kantor pos. Eitss hati hati. Jangan sampai keliru sama yang palsu, yess.
Bikin prangko bergambar fotomu juga bisa. Masuk kantor pos.
Resmi. Bisa buat kirim kiriman asli",positive
"Salah satu gedung tua di Yogyakarta, sebelah Bank Indonesia. Masih ingat saat kantor pos sedang ramai karena pengantaran kartu lebaran. Waktu berlalu begitu cepat, begitu cepat....",positive
Pelayananny cepat g perlu nunggu lama,positive
Terpercayalah,positive
"Kantor Pos utama di jogja, tetap beroperasi terbatas meskipun liburan",positive
"Kantor Pos Besar di perempatan titik Nol Km nya jogja, pelayanan nya komplit, ramah, cepat. Parkir klo untuk motor agak sempit (karena bergedung di pusat kota) tapi masih tergolong nyaman. Gedung nya klasik dan halaman depan/trotoar asik buat foto2.",positive
"Pelayanan bagus pegawai ramah. Antrian juga tertib sesuai nomor. Buka terus SETIAP HARI termasuk SABTU dan MINGGU:
Senin-Sabtu : 07.30 - 24.00
Minggu: 09.00 - 14.00
Melayani semua pengiriman surat, barang dan paket.
Overall recommended!",positive
Pelayanan bagus.,positive
"Kantor pos terbesar di Jogja. Pelayanan bagus, ruang tunggu nyaman dan tidak terlalu banyak antrian. Tips untuk mengirim paket supaya tidak antri lama. Silahkan datang setelah pukul 15.00 karena transaksi pengiriman pada jam itu sudah mulai lengang. Maju terus pos Indonesia.",positive
"Kantor pos besar dan utama di Yogyakarta. Bangunannya merupakan bangunan bersejarah, jadi bagus banget disainnya. Lalu pelayanan juga ramah dan cepat. Fasilitas juga memadai serta bersih. Harga ekspedisi terjangkau. Terimakasih kantor pos Indonesia.",positive
"Nyaman, tempat nunggunya enak. Sepanjang pakai jasa pengiriman, ini yg paling murah sih. Udah gak diragukan lagi. Buka ampe malam lagi. Josss lah pokoknya. Haha",positive
Kantor pos legendaris. Arsitektur bangunan yang bikin betah berkunjung,positive
"tempat sejuk dan nyaman,pelayanan satpam dan cs ramah",positive
Pelayanan bagus dengan protokol kesehatan yang baik di masa pandemi,positive
"Bangunannya terlihat estetis. Pelayanannya okeaayy buka sampai malam. Kalau mau kirim barang ke counter, ambil nomor antriannya dulu :)",positive
"Baik,",positive
Tempatnya keren banget. Buat pedestarian,positive
"Saya suka sekali mengirim paket via Pos , karena mampu menjangkau kepelosok Nusantara , pelayanan bagus, harga murah dan parkir luas terletak di KM.0 Yogyakarta",positive
Tempatnya bagus dan rapi,positive
"Bersih, bagus buat foto wkwkw.... tapi agak lama pelayanannya, terus sering kayak kebingungan mbnya.",positive
"Ekspedisi jaringan terbesar. Kantor Pos Jogjakarta disebut juga Kantor Pos Besar memiliki gedung artistik yang didirikan oleh Kolonial Belanda (pemerintah Belanda) di jantung kota Jogjakarta. Kita dapat menemukan kastil Vreeden Burg di seberang tempat ini (sisi utara) juga dibangun oleh pemerintah Natherland dan sisi selatan adalah istana Jogjakarta rumah sultan Jogja. Malam hari lebih baik jika ingin menikmati suasana, berfoto. Banyak kursi di sekitar gedung.",positive
Staf yang ramah dan tempat yang nyaman.,positive
"pelayanan mantap, gedungnya megah,berada di pusqt kota",positive
"Petugas CS ramah. Pas saya mau aktivasi layanan COD, petugas CS menjelaskan dengan detail. Terimakasih layanannya yang sangat memuaskan.",positive
Layanan memuaskan,positive
"Sejak pertama dibangun oleh penjajah Belanda pada tahun 1912 hingga kini gedung itu difungsikan sebagai kantor pos, sedangkan perancangan design arsitekturnta sudah sejak 1910. Dulu, gedung itu difungsikan sebagai kantor pos oleh penjajah Belanda dengan nama Post, Telegraaf en Telefoonkantoor yang artinya Kantor Pos, Telegraf dan Telepon. Kini, gedung itu bernama Kantor Pos Besar Yogyakarta, difungsikan sebagai kantor pos oleh PT. Pos Indonesia.

Gedung bergaya arsitektur Indische Empire di sudut jalan antara Jalan Panembahan Senopati dan Jalan Pangurakan itu dirancang oleh arsitek Burgerlijke Openbare Werken (BOW), sebuah departemen pekerjaan umum pemerintah Hindia Belanda yang saat itu menjajah bangsa Indonesia.

Keunikan gedung Kantor Pos Besar Yogyakarta ada pada bagian atapnya. Atap gedung itu memiliki sebuah dormer yang vertikal lurus dengan pintu masuk utama. Dormer merupakan sebuah jendela yang letaknya berada di atap bangunan. Jendela pada atap gedung itu menjorok keluar dan memiliki atap tersendiri.

Keunikan lainnya dari gedung ini adalah 6 buah Fasad, yaitu bukaan atau jendela besar berbentuk setengah lingkaran yang menambah kemegahan bangunan. Fasad ini berfungsi untuk memasukkan cahaya matahari ke dalam ruangan gedung itu. (*)",positive
"Pelayanan bagus, kantornya besar jadi mudah d cari.. Berada d tempat yg strategis..",positive
Kantor Pos Besar Yogyakarta memiliki bangunan yang indah dan bersejarah. Pelayanannya juga ramah.,positive
Pelayanan dan lokasi bagus. Bangunan bersejarah.,positive
"Tempatnya besar, counternya banyak.
Buka 24 jam dong! Buka Senin sampai Sabtu kecuali hari libur nasional dan Minggu.
Gedungnya kuno tapi bagus.",positive
Luas dengan pelayanan yang baik,positive
"Petugas nya ramah, cantik cantik dan ganteng ganteng juga. Dan oh iya, cepat dan mudah mau kirim barang, transfer uang, atau western Union bisa banget disini dan jamin ga ribet bosku",positive
Sangat pas untuk posisi karena berada di jantung kota bandung,positive
Pelayan bagus... Nanya surat Google Adsense langsung direspon sama CS nya trus suruh tulis nama alamat dan nomor hp... Suruh tunggu ga sampai 5 menit alhamdulillah ternyata pin google adsense ku sudah datang di kantor pos ini... Terima kasih pos Indonesia...,positive
"pelayanan cukup ramah tapi perlu ditingkatkan lagi, respon cepat, parkiran luas 👍 …",positive
"Tempatnya luas, nyaman, pegawainya baik dan ramah",positive
Tiap hari buka.. keren,positive
Kantor Pos skr sudah multifungsi dan jam operasionalnya lebih panjang.,positive
"Gila. Responsif, nanya surat google AdSense.. Eh ternyata baru sampe hari ini banget. Sudah 2 bulan ku menanti.
Jgn lupa sapkrep kekigadget di YouTube kesayangan kalian.",positive
pelayanan sangat bagus dan para staf ramah,positive
Pelayananya ramah,positive
"Tempatnya luas dan nyaman,,loket banyak tersedia dan melayani berbagai macam jasa pengiriman",positive
"Saya baru saja mengunjunginya beberapa waktu yang lalu, cepat ketika Anda masuk. Mungkin terlihat ramai tetapi mereka juga buka untuk dana pensiun. Sama seperti pertama masuk pertama keluar.",positive
Layanan hebat dan khususnya staf yang ramah. Mereka selalu tepat waktu.,positive
Berbagai barang bagus,positive
Lg jaman dulu paling asik berkirim surat melalui kantor pos beli prangko langsung di tempel sebelah kanan terus masukan ke dalam kotak pos. Datangnya ada yg 3 hari ada yg 1 minggu ada yg 2 minggu tergantung harga prangkonya,positive
Sekarang layanan Pos jauh lebih baik. Semangat untuk terus berinovasi memberikan layanan terbaik bagi masyarakat.,positive
Pelayanan sangat ramah.. cepat.. loket lumayan banyak.. ok tingkat kan lagi ..,positive
Siap melayani dan bertanggung jawab banget kantor posnya. Keren👍STR aku nyasar ke jakarta tapi kantor pos ini mau bantuin kirim ulang ke kantor pos cirebon😍 terimakasih👍 …,positive
"Pelayanan nya ramah banget,  khusus nya pak satpam, pak satpam nya baik juga,soal nya bantu orang yang ngga tau jadi tau 🤗😊 …",positive
mudah berkomunikasi dgn petugasnya,positive
"Alhamdulillah skrg pelayanan pos sdh cepat, dan kami sebagai customer nya jga tenang semua kiriman aman, terlacak scr online,, ga perlu bertanya ttg nasib kiriman sdh sampai dmn.. dan semua kebutuhan berbayar keluarga semua ada dilayanan Pos. Pos luar biasa dan hrs tetap berbenah dan inovasi, Krn pesaing Anda sgt berat walau semua adalah Pendatang Baru. Kalian hrs up-to-date dan terdepan. #082234272708",positive
Libur natal tetap buka. Mantap memang. Semoga terus membaik.,positive
"Inilah pos indonesia pusat..ramah sangat jelas informasinya.luas tempatnya dan..saya pribadi menyukai tempat ini untuk bayar tilang..pokoknta mantulah  pos indonesia di jakarta pusat..ramahnya,tempatnya parkirnya serba nyaman...smoga pos pos begini nih yang ditempat lain..MAJU DAN SUKSES BUAT POS INDONESIA....",positive
"Perpanjangan SIM disini lancar
Biaya perpanjangan SIM sebagai berikut:
1. Tes psikologi 60rb
2. Tes kesehatan 25rb
3. SIM A: 130rb , SIM C: 125rb
Syarat cuma bawa FC KTP 2 lembar dan SIM Asli

Note: Disarankan datang pagi hari, jam 7 sudah mulai antri",positive
Kantor Pusat Pos Indonesia dan Lokasi Mudah Ditemukan,positive
"Bagus pelayanannya,sesuai antrian....
Tingkatkan",positive
Tempat yang bagus untuk mengirim sesuatu yang mendesak.,positive
"Disini ada Perpanjangan Sim keliling , pas depan indomaret ,,, pelayanan nya cepat , parkir mudah , banyak tepat utk menunggu sim ...

Syarat perpanjang SiM  2021:
FC ktp 2 lembar
Sim Asli (yg mau diperpanjang)

Biaya Perpanjang Sim Motor :
Rp 150rb
Biaya Perpanjang Sim Mobil:
Rp 155rb

Buka dari jam 8 pagi - 14.00siang
(13.30 close pendaftaran)",positive
Lokasinya mudah dicari,positive
Bagus,positive
Kualitas Profesional,positive
"Tempat yang nyaman,untuk pengiriman barang ke dalam ataupun luar negri",positive
Bagus 👍 …,positive
Alhamdulillah,positive
"Hari kerja di akhir bulan relatif sepi. (Menurut pekerja kantor pos) Anda juga dapat dengan mudah mengirim EMS di sini. Karena kami berafiliasi dengan DHL, EMS juga dikirimkan bersama dengan barang DHL, namun harganya lebih baik jika menggunakan EMS.",positive
Ramah banget petugasnya. Dateng hari Sabtu untuk kirim kartu pos pake perangko. Sigap dan sangat membantu. 👍👍👍 …,positive
Strategis. Besar. Pelayanan cepat ga antri,positive
Mereka memiliki layanan 24 jam & penjemputan,positive
Legalisir dokumen ber materai,positive
"Pelayanan ramah. Buka 24 jam. Ada ATM BTN, Link dan BJB. Ada Alfamart dan fotokopian juga. Parkir cukup luas. Ada tempat charging kendaraan listrik (SPKLU).",positive
"Karyawannya ramah dan helpful.
*notes:
Tks to Mega",positive
Ke belakang,positive
"Satpam nya ramah, lg bingung mau transaksi dikasi tau cara2 nya.
Thanks Pa Satpam.",positive
"Kantor pos besar yang ada di Jakarta Selatan, di sini anda bisa membeli produk dari pos dan giro,",positive
"Kantor pos besar yang buka dari pagi hingga sore, disini kita bisa membeli meterai.",positive
"Di sinilah Anda bisa menemukan parsel EMS dari Korea (Jakarta Selatan, Kemang Village). Kadang-kadang saya menerima panggilan telepon, tetapi kali ini saya tidak menerima panggilan meskipun sudah beberapa minggu sejak saya tiba di sini, …",positive
"Saya kasih bintang 5 untuk kantor pos cabang daan mogot jakarta barat karena pelayanan dan penjelasannya enak serta masuk diakal. Dr mulai satpam yang bertugas berjaga dipintu masuk hingga petugas di customer service.
Tarif parkir untuk mobil sekali parkir 1 jam nya rp. 5000. Cukup mahal sih ya 🤭
Area parkir juga luas baik untuk motor maupun mobil.
Tersedia jg jalanan masuk untuk kursi roda atau disabilitas.
Lalu, untuk tempatnya cukup bersih dan terawat. Jadi nyaman jg kalau nunggu antrian disini.
Untuk pelayanan ramah, penjelasannya juga detail. Kita dikasih no wa petugasnya jd sewaktu2 bisa bertanya terlebih dahulu tanpa harus kesana.
Untuk yang sedang menunggu pin google adsense untuk kamu yg tinggal domisili jakarta barat kamu bisa bertanya ke kantor pos disini (customer service). Karena google adsense semua di tmpatkab disini.  Dr penjelasan petugas sih knp tidak dikirim kerumah harus diambil karena dikhawatirkan takut hilang. Jd lewat satu pintu saja yaitu diambil disini.
Sekian ulasan dari saya.
Untuk memperoleh update an tmpt tmpt yang populer km bisa follow ya profile saya.
Terima kasih🙏",positive
"Pelayanannya ramah. Terimakasih secara personal kepada pak irwan sudah bantuin saya cari buku import 👍 tempatnya bersih, pelayanannya baik, satpam mengarahkan kita juga. Customer service juga baik. Parkir juga normal …",positive
"BUAT teman teman yang lagi menunggu PIN adsense.
Coba langsung datang ke kantor pos ini
Karena pengalaman pribadi saya yg menunggu sudah 6 bln lebih PIN tak kunjung datang/dikirim ke alamat kita.
Ternyata pihak kantor pos tidak mengirim nya ke alamat penerima(saya kurang tau alasannya kenapa).
Dan karena sudah menunggu terlalu lama akhir nya saya datang ke kantor pos untuk menanyakan PIN tersebut.
Sesampainya di kantor pos ini saya langsung di arahkan ke CS nya. Tidak begitu lama PIN nya ternyata Sudah ada. Dan saya menerima PIN tersebut yg selama ini saya tunggu2 😀😀😀

Semoga membantu",positive
Saya ingin menanyakan bansos apabila dapat dari orangtua ketika itu meninggal apa bisa di ambil hak kepada anaknya,positive
Parkir luas dan pelayanannya bagus,positive
"Lokasi mudah ditemukan. Persis setelah showroom mobil Daihatsu Daan Mogot. Ada lahan parkir mobil dan motor yg cukup luas untuk pengunjung, terpisah dari parkir mobil pengiriman Pos Indonesia. Karcis parkir resmi dari mesin jadi nominal sesuai dengan lama parkir.
Area lobby kantor pos juga ada kanopi. Di dekat pintu lobby juga ada ramp jika ada yg memerlukan. Tapi anak tangga akses masuk pintu lobby cukup tinggi dan kondisinya agak berbahaya, harus hati2 saat menuju pintu masuk.
Ruang tunggu cukup luas dan disediakan banyak kursi tunggu di dalam dan di teras gedung, jadi di dalam ruangan ber AC tanpa bau rokok. Di ruang tunggu juga ada toilet.
Waktu saya tiba kondisi sangat lengang, tidak seperti info pada google yg menginfokan kalau di jam itu kantor pos Daan Mogot sedang sibuk.
Pelayanan petugas customer service dan petugas informasi cukup ramah dan cukup membantu.
Jadwal yg ada di google adalah jadwal buka tutup kantor pos Daan Mogot, tapi masing2 layanan ada jadwal masing2 jadi harus cari info dulu sebelum datang.
Sebagai informasi, saya dapat info dari petugas di kantor pos Daan Mogot kalau ada pengiriman yg tidak berhasil dikirim karena di alamat tujuan tidak ada orang maka dari pihak kantor pos akan mengirimkan kembali sampai 3x (termasuk saat pengiriman pertama), jika tetap tidak ada penerima baru disimpan di kantor pos Daan Mogot dan harus di ambil di kantor pos Daan Mogot (sepemahaman saya mungkin akan dikenakan biaya penyimpanan).",positive
"Kantor pos terbesar yang pernah saya datangi di Jakarta Barat, buka sampai malam bahkan tertulis 24 jam. Lokasinya sangat strategis, loketnya juga banyak jadi pelayanan cepat. Kalau sore ke malam hanya beberapa yang buka tapi tidak masalah.

Bisa dijangkau dengan busway juga, sangat mudah. Lumayan ramai orang juga jadi ngga serem kalau ke sini malam. Overall good semua.",positive
Layanan baik..,positive
"23012021

Niatnya mau ambil paket EMS karna nanya ke Kantor Pos Malaka katanya sudah bisa diambil langsung ke sini (walaupun infonya kalo belum dibayar pajaknya, belum bisa diantarkan oleh Pak Pos), masuk langsung diperiksa thermogun oleh Pak Satpam (standar nu normal 😁) dengan ramah ditanya keperluannya, langsung diarahkan ke loket di depan tangga. Sampe di loket tujuan sudah standby Mbak Petugas Konternya, dengan ramah dan sabar pulak menanyakan keperluan saya, lalu ditanya no resi paket yang saya ambil, setelah ngprint dan isi alamat serta nama, si Mbak yang baik hati mengarahkan ke bagian gudang belakang tempat penampungan paket dari luar negri. Sesampainya di sini cuma ada Mbak-mbak yang ramah dan baik yang ngasih info kalo petugas yang saya tuju sedang tidak ada di tempat, gak berapa lama kemudian malah si Mbak bantu ngehubungin petugas yang dimaksud, selang gak berapa lama dateng dah petugas yang ternyata Mas-mas, baik dan ramah jugak, setelah tracking paket, ternyata langsung di arahkan lagi ke Kepala Bagian Paket Wilayah Duren Sawit (Mandor), sempet cek sana-sini dan nelpon kurir oleh si Bapak Mandor baik dan ramah, dapet kepastian bahwa ternyata paket sudah dibawa dan diantar ke rumah oleh Pak Pos.

Jadi, overall pelayanan di sini ramah banget, paling sistemnya aja yang harus dirapikan. Fasilitas juga kumplit (minus ATM center yang dah kosong). Buat Bapak/Ibu petugas di sini keren-keren dan asik. Josslah pokoknya.",positive
"Lebih komplit Pelayanan. 24 Jam
Untuk semua Pelanggan Pos",positive
"Security & CS nya baik2 juga ramah, puas dengan penjelasannya.
Top👍👍👍👍👍 …",positive
"Tolong telepon CS nya diangkat Bapak/Ibu, karena saya kirim barang sudah 20 hari kerja tetap saja belum sampai.",positive
Hari Minggu dan libur tetap buka 👍👍 …,positive
"Kantornya besar dan lega, pelayanan standar kantor pemerintahan",positive
"Datang ke sini untuk mencari paket saya dari luar negeri yang tidak terkirim selama sebulan kepada saya. Semua orang mulai dari petugas keamanan di pintu masuk hingga wanita yang menangani kasus saya sangat ramah dan membantu. Salah satu wanita di meja CS berusaha keras untuk membantu saya dan sangat sopan. Rupanya paket saya telah dipindahkan ke yang ada di pangkuan Banteng karena tidak diklaim/dikirim di kantor ini selama lebih dari 14 hari. Namun CS wanita tersebut memberikan semua yang perlu saya ketahui, memeriksa bagian belakang gudang, dan memastikan bahwa barang saya benar-benar ada di Lap Banteng yang pasti saya hanya perlu berkendara ke sana dan mengambilnya.

Sambil menunggu, saya duduk di antara dua kelompok pelanggan berbeda yang sedang berdebat keras dengan staf CS di sebelah saya untuk berbagai masalah dalam waktu kurang dari satu jam dan sejujurnya saya hanya bersyukur pengalaman saya menyenangkan terus menerus dengan CS wanita yang membantu saya.

Ada pemeriksaan thermogun dan wastafel cuci tangan dengan sabun tebal yang indah saat masuk.",positive
"pelayanan oke, ruang tunggu luas pake AC",positive
Tempat saya biasa beli materei dan kirim surat,positive
"Pelayanannya cekatan, ramah dan tertata dgn baik",positive
"Segala macam pembayaran bisa dari sini,tempatnya luas dengan prokes yang cukup tertib,cepat pelayananya dan tidak padat..",positive
Ruangannya bersih dan nyaman,positive
"Kantornya rapi, tempat parkir luas, ruang pelayanannya ber AC nyaman",positive
Layanannya sekarang sampai jam 22.00 WIB cocok untuk pebisol,positive
"Lokasi strategis dekat alun-alun dan masjid agung. Transportasi mudah dijangkau karena berada di pinggir jalan raya. Kantor pos selain tempat untuk mengirim surat, barang ataupun uang, juga tempat pengambilan gaji bagi beberapa pensiunan. Pelayanannya ramah. Tempatnya adem dan luas.",positive
Selalu ada cerita setiap ke Kantor Pos,positive
"Tempat kirim paket yang oke dan cepat, bayar listrik, angsuran motor, bpjs, bisa di Kantor Pos",positive
Kantor pos terbesar di karawang ya. Bisa jadi kantor pos pusat tapi saya kurang tau. Bisa legalisir surat negara ya disini. Jam bukanya katanya sampai jam 22.00. Loketnya banyak tapi yang kerjanya cuma sedikit hehe.,positive
Kirim paket cepat dan tempat bayar2 tagihan,positive
"tempat luas, pelayanan mantap",positive
"Kantor POS Cabang Kota Madiun memiliki pegawai yang ramah dan tanggap, tersedia ATK standar untuk membantu pengirim paket menulis, mengelem, menggunting dan memotong disudut kanan bagian utama kantor POS. Kantor POS juga menyediakan hand sanitizer yg dapat digunakan pelanggan POS dan pembatas loket antara pelanggan dan pegawai loket.",positive
Pelayanan memuaskan,positive
